HA_open,HA_high,HA_low,HA_close,atr_condition,Trendline,trade_single
961.825,1025.55,923.65,968.2125,False,1025.55,0
965.01875,965.01875,820.05,871.8499999999999,False,1025.55,0
918.4343749999999,918.4343749999999,792.75,816.3499999999999,False,1025.55,0
867.3921874999999,867.3921874999999,712.25,770.2874999999999,False,1025.55,0
818.8398437499999,818.8398437499999,462.15,613.9375,False,1025.55,0
716.388671875,716.388671875,544.6,608.0625,False,1025.55,0
662.2255859375,662.2255859375,577.6,610.5375,False,1025.55,0
636.38154296875,650.0,568.1,595.6624999999999,False,1025.55,0
616.0220214843749,652.05,590.9,612.3625,False,1025.55,0
614.1922607421875,743.15,609.45,674.95,False,1025.55,0
644.5711303710938,784.0,644.5711303710938,714.4625,False,1025.55,0
679.5168151855469,900.0,679.5168151855469,782.475,False,1025.55,0
730.9959075927734,1058.85,730.9959075927734,961.7249999999999,False,1025.55,0
846.3604537963867,1110.95,846.3604537963867,963.4875,False,1025.55,0
904.9239768981934,923.0,835.0,874.575,False,1025.55,0
889.7494884490967,924.25,787.05,851.4375,False,1025.55,0
870.5934942245483,870.5934942245483,720.95,775.1375,False,1025.55,0
822.8654971122742,822.8654971122742,688.1,720.675,False,1025.55,0
771.7702485561371,806.7,690.0,727.1875,False,1025.55,0
749.4788742780686,770.0,690.0,725.75,False,1025.55,0
737.6144371390343,777.0,691.7,731.1125,False,1025.55,0
734.3634685695172,757.25,670.0,702.9124999999999,False,1025.55,0
718.6379842847585,718.6379842847585,632.25,666.675,False,1025.55,0
692.6564921423792,1194.7,692.6564921423792,1059.0749999999998,False,1025.55,0
875.8657460711895,1278.4,875.8657460711895,1224.4375,False,1025.55,0
1050.1516230355946,1261.2,1050.1516230355946,1200.55,False,1025.55,0
1125.3508115177974,1189.85,1112.15,1147.2,False,1025.55,0
1136.2754057588986,1136.2754057588986,953.55,1038.1999999999998,False,1025.55,0
1087.2377028794492,1087.2377028794492,772.95,911.7874999999999,False,1025.55,0
999.5126014397246,999.5126014397246,751.55,836.7750000000001,False,1025.55,0
918.1438007198624,918.1438007198624,738.05,774.2249999999999,False,1025.55,0
846.1844003599311,905.55,785.5,827.7625,False,1025.55,0
836.9734501799655,836.9734501799655,746.9,791.9000000000001,False,1025.55,0
814.4367250899828,814.4367250899828,700.0,759.6125,False,1025.55,0
787.0246125449914,854.7,753.55,802.3875,False,1025.55,0
794.7060562724957,953.6,794.7060562724957,876.5124999999999,False,1025.55,0
835.6092781362479,994.1,835.6092781362479,910.3249999999999,False,1025.55,0
872.967139068124,942.65,814.05,867.3875,False,1025.55,0
870.177319534062,870.177319534062,779.0,818.3499999999999,False,1025.55,0
844.263659767031,862.95,812.05,834.2750000000001,False,1025.55,0
839.2693298835155,924.9,822.05,869.05,False,1025.55,0
854.1596649417577,958.0,854.1596649417577,903.2375,False,1025.55,0
878.6985824708788,935.05,870.0,894.35,False,1025.55,0
886.5242912354395,959.4,870.0,916.725,False,1025.55,0
901.6246456177198,1040.0,901.6246456177198,973.0999999999999,False,1025.55,0
937.3623228088599,1005.95,898.65,951.5875000000001,False,1025.55,0
944.47491140443,1012.9,875.75,957.625,False,1025.55,0
951.049955702215,1072.85,951.049955702215,1029.3,False,1025.55,0
990.1749778511075,1043.0,909.0,1004.75,False,1025.55,0
997.4624889255538,1020.0,878.75,949.375,False,1025.55,0
973.4187444627769,973.4187444627769,838.35,877.5625,False,1025.55,0
925.4906222313884,925.4906222313884,815.0,854.5625,False,1025.55,0
890.0265611156942,890.0265611156942,828.9,864.6500000000001,False,1025.55,0
877.3382805578472,954.0,859.25,901.7,False,1025.55,0
889.5191402789236,920.0,854.7,895.9625,False,1025.55,0
892.7408201394618,992.95,892.7408201394618,937.95,False,1025.55,0
915.3454100697309,953.0,854.2,911.7874999999999,False,1025.55,0
913.5664550348654,913.5664550348654,762.0,837.225,False,1025.55,0
875.3957275174328,875.3957275174328,730.0,774.6,False,1025.55,0
824.9978637587164,824.9978637587164,700.65,750.4,False,1025.55,0
787.6989318793583,819.85,729.0,757.525,False,1025.55,0
772.6119659396791,850.0,739.5,792.7625,False,1025.55,0
782.6872329698396,900.0,774.1,819.9375,False,1025.55,0
801.3123664849197,801.3123664849197,750.0,767.7249999999999,False,1025.55,0
784.5186832424598,784.5186832424598,609.65,689.5125,False,1025.55,0
737.01559162123,737.01559162123,452.15,538.0625,False,1025.55,0
637.539045810615,637.539045810615,430.45,496.6625,False,1025.55,0
567.1007729053075,567.1007729053075,439.95,459.175,False,1025.55,0
513.1378864526538,513.1378864526538,388.0,445.53749999999997,False,1025.55,0
479.3376932263269,516.9,428.6,469.65,False,1025.55,0
474.49384661316344,520.0,438.15,487.7875,False,1025.55,0
481.14067330658173,502.85,413.7,460.475,False,1025.55,0
470.8078366532909,470.8078366532909,273.4,372.7125,False,1025.55,0
